Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,635494330120,0,0,0
CEDIS,635494330205,0,0,0
CEDIS,635494331127,0,0,0
CEDIS,635494345254,0,0,0
CEDIS,635494347203,1,2,3
CEDIS,635494348200,0,0,0
CEDIS,635494349207,0,0,0
CEDIS,635494352122,0,0,0
CEDIS,635494358209,0,0,0
CEDIS,635494363210,15,22,37
CEDIS,635494377002,3,4,7
CEDIS,635494390124,0,0,0
CEDIS,635494391206,10,15,25
CEDIS,679795082005,0,0,0
CEDIS,679795082012,4,5,10
CEDIS,679795082029,0,0,0
CEDIS,679795082043,0,0,0
CEDIS,679795082050,0,0,0
CEDIS,679795082098,0,0,0
CEDIS,679795082128,0,0,0
CEDIS,679795082135,0,0,0
CEDIS,679795082142,0,0,0
CEDIS,679795083033,0,0,0
CEDIS,679795083057,0,0,0
CEDIS,679795083071,0,0,0
CEDIS,679795083088,7,10,16
CEDIS,679795083095,0,0,0
CEDIS,679795083118,0,0,0
CEDIS,679795083231,0,0,0
CEDIS,679795083248,0,0,0
CEDIS,679795083279,1,2,3
CEDIS,679795083309,0,0,0
CEDIS,679795083330,2,3,5
CEDIS,679795083347,0,0,0
CEDIS,679795083378,1,2,3
CEDIS,679795083392,0,0,0
CEDIS,679795083460,0,0,0
CEDIS,679795083484,0,0,0
CEDIS,679795083491,0,0,0
CEDIS,679795083507,2,3,5
CEDIS,679795083668,0,0,0
CEDIS,679795083682,0,0,0
CEDIS,679795083699,0,0,0
CEDIS,679795083705,0,0,0
CEDIS,679795083736,0,0,0
CEDIS,679795083798,0,0,0
CEDIS,679795083828,0,0,0
CEDIS,679795083835,2,3,5
CEDIS,679795083842,1,2,3
CEDIS,679795083859,0,0,0
CEDIS,679795083866,0,0,0
CEDIS,679795083910,0,0,0
CEDIS,679795083941,0,0,0
CEDIS,679795083965,0,0,0
CEDIS,679795084078,0,0,0
CEDIS,679795084085,0,0,0
CEDIS,679795084092,0,0,0
CEDIS,679795084252,1,2,3
CEDIS,679795084443,0,0,0
CEDIS,679795084450,0,0,0
CEDIS,679795084733,0,0,0
CEDIS,689076177184,0,0,0
CEDIS,689076327190,1,2,3
CEDIS,689076362153,55,72,128
CEDIS,689076724531,5,8,13
CEDIS,689076961370,0,0,0
CEDIS,705105259505,0,0,0
CEDIS,705105259604,1,2,3
