Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,5201279077822,0,0
Sucursal Centro,5201279073237,0,0
Sucursal Centro,5201279073213,0,0
Sucursal Centro,5201279077839,0,0
Sucursal Centro,5201279071592,0,0
Sucursal Centro,5201279071615,0,0
Sucursal Centro,5201279078959,0,0
Sucursal Centro,4806502774823,0,0
Sucursal Centro,7502305670559,5,5
Sucursal Centro,7502305670542,4,4
Sucursal Centro,4806502775165,0,0
Sucursal Centro,7502305670535,3,3
Sucursal Centro,7502305670528,5,5
Sucursal Centro,7502305670863,1,1
Sucursal Centro,7502305671631,2,2
Sucursal Centro,7502305670573,1,1
Sucursal Centro,7501089812100,0,0
Sucursal Centro,7501089804389,0,0
Sucursal Centro,7501089804396,0,0
Sucursal Centro,7501089804525,0,0
Sucursal Centro,8431166181418,0,0
Sucursal Centro,7501089804518,0,0
Sucursal Centro,7501089804433,0,0
Sucursal Centro,7501089804532,0,0
Sucursal Centro,8431166260021,0,0
Sucursal Centro,8431166260137,0,0
Sucursal Centro,8431166260106,0,0
Sucursal Centro,7501089812094,0,0
Sucursal Centro,7501089804471,1,1
Sucursal Centro,8470001657909,0,0
Sucursal Centro,8470001520357,1,1
Sucursal Centro,8470002063754,1,1
Sucursal Centro,8430340038418,0,0
Sucursal Centro,8430340038432,0,0
Sucursal Centro,7501089804136,0,0
Sucursal Centro,7501089804013,0,0
Sucursal Centro,7501089804327,0,0
Sucursal Centro,7501088507168,0,0
Sucursal Centro,8809151132231,0,0
Sucursal Centro,8809151132224,0,0
Sucursal Centro,8809151131180,0,0
Sucursal Centro,8809151138608,0,0
Sucursal Centro,8809151132057,0,0
Sucursal Centro,8809151133658,0,0
Sucursal Centro,8809151131715,0,0
Sucursal Centro,8809151131357,0,0
Sucursal Centro,8809151139957,0,0
Sucursal Centro,8809151138875,0,0
Sucursal Centro,8809151134358,0,0
Sucursal Centro,8809238960276,0,0
Sucursal Centro,8809151133009,0,0
Sucursal Centro,8809151130046,0,0
Sucursal Centro,8436012782986,0,0
Sucursal Centro,8436012782986,0,0
Sucursal Centro,8436012783273,0,0
Sucursal Centro,8436012783204,0,0
Sucursal Centro,8436012780104,0,0
Sucursal Centro,8436012782962,0,0
Sucursal Centro,8436012782931,0,0
Sucursal Centro,8436012782177,0,0
Sucursal Centro,8436012782252,0,0
Sucursal Centro,8436012782306,0,0
Sucursal Centro,8436012782733,0,0
Sucursal Centro,8436012782771,0,0
Sucursal Centro,8436012783129,0,0
Sucursal Centro,8436012782818,0,0
Sucursal Centro,8436012782139,0,0
Sucursal Centro,8436012782276,0,0
Sucursal Centro,8436012782320,0,0
Sucursal Centro,8436012782436,0,0
Sucursal Centro,8436012782979,0,0
Sucursal Centro,8436012781231,0,0
Sucursal Centro,8436012781330,0,0
Sucursal Centro,8436012781248,0,0
Sucursal Centro,8436012781255,0,0
Sucursal Centro,8436012781262,0,0
